Samples,RNA-seq core set of samples,ITPKB,MME,BCL6,MYBL1,DENND3,NEK6,LMO2,LRMP,SH3BP5,IRF4,PIM1,ENTPD1,BLNK,CCND2,ETV6,FUT8,BMF,IL16,PTPN1
2140,0,3.304161177,1.620613091,4.617296638,1.333699213,4.282478872,3.200180922,4.873960262,2.756893031,4.294215056,2.170365337,8.264606847,3.917120478,6.054918038,4.742753311,5.698970282,2.578063957,2.504888438,3.566447728,4.818005869
2141,1,4.984093984,5.20154516,5.453430814,2.430253464,5.899692277,4.856526062,4.493194076,4.102356483,4.912009969,4.027312636,6.339328404,5.710153099,3.619873684,5.616641038,6.274710002,4.472151857,3.105856835,6.301697625,5.41150462
2142,1,5.397554756,4.162502438,6.153620459,4.583979207,7.471405705,6.604742051,6.641054582,7.751640521,4.717945415,6.824670867,4.702200453,5.882178235,6.047874767,4.822446119,5.063656068,5.167790917,4.501975837,6.207936626,5.166200012
2144,0,6.071854578,3.878527021,4.825950291,5.749741478,6.5519122,6.605738096,6.154170812,7.992561055,4.024539138,6.816085283,4.577698246,2.268695163,3.617499186,3.395865771,0.938286347,4.370574155,0,2.285723155,3.246403594
2145,0,5.789660074,2.596491918,6.226204276,2.089358345,5.910945293,4.249298164,2.931684473,4.092848965,5.855966607,1.760380476,5.456592034,5.756049461,2.444694502,6.37321837,5.275724876,4.291401192,3.832890398,4.53017531,4.675067055
2146,0,3.666205296,0,6.057090666,3.265754139,3.861963227,3.295169756,2.834434925,5.997208267,4.869227339,7.546949567,6.996705373,3.348783621,6.162214441,6.229666369,8.472837744,6.276216819,4.931301178,6.737272337,6.994485648
2147,1,5.766124106,5.730812976,6.424986857,4.195903071,8.478206485,7.211438809,6.037139397,6.96718909,5.325718511,5.522485684,5.660897477,5.712365247,4.943762302,4.603355468,5.991488005,4.847624031,4.102288427,6.994883532,5.420955192
2148,1,4.849598979,1.059034933,5.025484526,1.501322836,5.382034754,4.848190877,3.957694262,7.317167776,6.197702806,6.033646884,7.008911066,5.802222097,6.135745923,6.147755695,6.16374478,5.695462056,3.400635879,6.499678327,6.466763962
2149,1,3.927217125,2.873275228,5.202271604,0.491408587,5.238463564,4.830098044,3.177950252,6.293273005,5.310389989,7.174485776,7.340989977,5.355088788,7.324839566,6.606595884,4.935845346,6.157831932,5.825378418,6.936288223,6.997602181
2150,1,4.580142436,3.636991769,4.397138234,0.823940178,4.54420962,4.014133537,1.623867568,7.220388592,7.22275798,7.238417855,6.4850123,6.133461968,8.386769963,6.604123076,6.58457593,5.867805973,3.324698871,7.157065341,6.064921631
2153,1,6.228575401,4.429563304,6.145255392,2.752364428,6.834354647,3.929997596,5.471766702,8.325912985,6.36585534,6.464496113,5.181503974,6.137216774,7.67696595,3.870690568,6.120141032,6.765686752,3.479630924,6.446408838,7.010847385
2154,0,6.735585624,4.850680802,6.391765205,6.375721356,8.130871987,6.550729478,5.913446749,9.02249784,4.9819867,4.90149514,5.292338726,3.728725484,5.379959609,4.053887057,4.75514904,5.457615993,4.487459159,5.643680095,4.771566763
2155,1,4.09010021,1.317764827,6.228705179,3.608737507,4.060039288,5.153396623,5.683742561,3.870365073,6.652134308,7.648142788,8.044231374,6.667827538,7.021647922,6.712821459,5.663604695,7.372799446,5.580152559,6.699174325,7.523707341
2156,1,5.544211996,3.155871386,6.034891772,2.787338598,4.912406112,5.964661863,4.350629751,6.787762442,6.240818343,6.815282538,7.780576683,5.256271155,7.215184108,5.405133032,5.322923789,6.102915077,5.105487903,7.231921306,5.438534311
